control, actual, esperado, ok
"cantidad_Equipo", 64, 64, TRUE
"cantidad_Jugador", 1536, 1536, TRUE
"cantidad_Partido", 64, 64, TRUE
"cantidad_Estadio", 8, 8, TRUE
"cantidad_EventoDeportivo", 128, 128, TRUE
"relaciones_PERTENECE_A", 1536, 1536, TRUE
"relaciones_DISPUTA", 128, 128, TRUE
"relaciones_SE_JUEGA_EN", 64, 64, TRUE
"relaciones_OCURRE_EN", 128, 128, TRUE
"relaciones_INVOLUCRA", 256, 256, TRUE
"total_nodos", 1800, 1800, TRUE
"total_relaciones", 2112, 2112, TRUE
"duplicados_equipoId", 0, 0, TRUE
"duplicados_codigo", 0, 0, TRUE
"duplicados_jugadorId", 0, 0, TRUE
"duplicados_partidoId", 0, 0, TRUE
"duplicados_estadioId", 0, 0, TRUE
"duplicados_eventoId", 0, 0, TRUE
"jugadores_sin_equipo", 0, 0, TRUE
"jugadores_pertenencia_invalida", 0, 0, TRUE
"planteles_distintos_de_24", 0, 0, TRUE
"camisetas_duplicadas", 0, 0, TRUE
"relaciones_duplicadas", 0, 0, TRUE
"partidos_equipos_invalidos", 0, 0, TRUE
"partidos_sede_invalida", 0, 0, TRUE
"eventos_partido_invalido", 0, 0, TRUE
"partidos_eventos_invalidos", 0, 0, TRUE
"eventos_participantes_invalidos", 0, 0, TRUE
"participantes_ajenos_al_partido", 0, 0, TRUE
"sustituciones_equipos_distintos", 0, 0, TRUE
"equipos_partidos_invalidos", 0, 0, TRUE
"conflictos_estadio_hora", 0, 0, TRUE
"conflictos_equipo_hora", 0, 0, TRUE
"etiquetas_ajenas", 0, 0, TRUE
"extremos_y_direcciones_invalidos", 0, 0, TRUE
"procedencia_invalida", 0, 0, TRUE
"estadisticas_fuera_de_alcance", 0, 0, TRUE
"identidad_y_pertenencia_hito4", 0, 0, TRUE
"identidad_equipo_hito4", 0, 0, TRUE
"campos_ausentes_Equipo", 0, 0, TRUE
"campos_ausentes_Jugador", 0, 0, TRUE
"campos_ausentes_Partido", 0, 0, TRUE
"campos_ausentes_Estadio", 0, 0, TRUE
"campos_ausentes_EventoDeportivo", 0, 0, TRUE
