partido, equipo, jugador
"PAR-001", "EQ-001", "JUG-0001"
"PAR-001", "EQ-001", "JUG-0002"
"PAR-001", "EQ-001", "JUG-0003"
"PAR-001", "EQ-001", "JUG-0004"
"PAR-001", "EQ-001", "JUG-0005"
"PAR-001", "EQ-001", "JUG-0006"
"PAR-001", "EQ-001", "JUG-0007"
"PAR-001", "EQ-001", "JUG-0008"
"PAR-001", "EQ-001", "JUG-0009"
"PAR-001", "EQ-001", "JUG-0010"
"PAR-001", "EQ-001", "JUG-0011"
"PAR-001", "EQ-001", "JUG-0012"
"PAR-001", "EQ-001", "JUG-0013"
"PAR-001", "EQ-001", "JUG-0014"
"PAR-001", "EQ-001", "JUG-0015"
"PAR-001", "EQ-001", "JUG-0016"
"PAR-001", "EQ-001", "JUG-0017"
"PAR-001", "EQ-001", "JUG-0018"
"PAR-001", "EQ-001", "JUG-0019"
"PAR-001", "EQ-001", "JUG-0020"
"PAR-001", "EQ-001", "JUG-0021"
"PAR-001", "EQ-001", "JUG-0022"
"PAR-001", "EQ-001", "JUG-0023"
"PAR-001", "EQ-001", "JUG-0024"
"PAR-001", "EQ-002", "JUG-0025"
"PAR-001", "EQ-002", "JUG-0026"
"PAR-001", "EQ-002", "JUG-0027"
"PAR-001", "EQ-002", "JUG-0028"
"PAR-001", "EQ-002", "JUG-0029"
"PAR-001", "EQ-002", "JUG-0030"
"PAR-001", "EQ-002", "JUG-0031"
"PAR-001", "EQ-002", "JUG-0032"
"PAR-001", "EQ-002", "JUG-0033"
"PAR-001", "EQ-002", "JUG-0034"
"PAR-001", "EQ-002", "JUG-0035"
"PAR-001", "EQ-002", "JUG-0036"
"PAR-001", "EQ-002", "JUG-0037"
"PAR-001", "EQ-002", "JUG-0038"
"PAR-001", "EQ-002", "JUG-0039"
"PAR-001", "EQ-002", "JUG-0040"
"PAR-001", "EQ-002", "JUG-0041"
"PAR-001", "EQ-002", "JUG-0042"
"PAR-001", "EQ-002", "JUG-0043"
"PAR-001", "EQ-002", "JUG-0044"
"PAR-001", "EQ-002", "JUG-0045"
"PAR-001", "EQ-002", "JUG-0046"
"PAR-001", "EQ-002", "JUG-0047"
"PAR-001", "EQ-002", "JUG-0048"
